No,STATEMENTS
1,What is your full name and why were you named that? Did you have a nickname growing up?
2,"What were the full names, dates of birth and places of birth of your parents and grandparents?"
3,What were the occupations of your parents?
4,What do you remember most about your mother?
5,What do you remember most about your father?
6,What do you remember most about your grandparents?
7,Are there any other family members you particularly remember? What makes them stand out in your mind?
8,"Where were you born? Were you born in a hospital, at home or elsewhere?"
9,How many children were in your family? What are their full names?
10,What are the earliest memories about your first home? What about other homes and places you lived?
